        r(a.u)         P(1s)         Q(1s)         P(2s)         Q(2s)        P(2p-)        Q(2p-)         P(2p)         Q(2p)         P(3s)         Q(3s)        P(3p-)        Q(3p-)         P(3p)         Q(3p)        P(3d-)        Q(3d-)         P(3d)         Q(3d)         P(4s)         Q(4s)        P(4p-)        Q(4p-)         P(4p)         Q(4p)
  4.458341E-07  2.318810E-04 -1.393856E-07  7.477313E-05 -4.498284E-08  5.092838E-09  7.928710E-06  2.822297E-10 -1.018726E-13  3.101180E-05 -1.865837E-08  2.150173E-09  3.347162E-06  1.194891E-10 -4.313440E-14  1.319071E-15  3.422328E-12  7.936594E-17 -2.046466E-20  1.224177E-05 -7.365443E-09  7.728512E-10  1.203076E-06  4.279041E-11 -1.544714E-14
  4.715409E-07  2.452512E-04 -1.559226E-07  7.908455E-05 -5.031971E-08  5.697064E-09  8.385879E-06  3.157148E-10 -1.205300E-13  3.279994E-05 -2.087204E-08  2.405275E-09  3.540159E-06  1.336658E-10 -5.103424E-14  1.560652E-15  3.828368E-12  9.390147E-17 -2.560875E-20  1.294763E-05 -8.239296E-09  8.645440E-10  1.272445E-06  4.786726E-11 -1.827620E-14
  4.985657E-07  2.593070E-04 -1.743068E-07  8.361701E-05 -5.625269E-08  6.368782E-09  8.866488E-06  3.529401E-10 -1.424636E-13  3.467976E-05 -2.333298E-08  2.688871E-09  3.743051E-06  1.494261E-10 -6.032125E-14  1.844654E-15  4.279764E-12  1.109894E-16 -3.200370E-20  1.368968E-05 -9.210756E-09  9.664788E-10  1.345371E-06  5.351119E-11 -2.160204E-14
  5.269761E-07  2.740834E-04 -1.947380E-07  8.838186E-05 -6.284628E-08  7.115290E-09  9.371737E-06  3.943102E-10 -1.682322E-13  3.665595E-05 -2.606792E-08  3.004043E-09  3.956346E-06  1.669412E-10 -7.123206E-14  2.178312E-15  4.781419E-12  1.310651E-16 -3.994605E-20  1.446978E-05 -1.029038E-08  1.079763E-09  1.422036E-06  5.978354E-11 -2.550938E-14
  5.568431E-07  2.896174E-04 -2.174371E-07  9.339100E-05 -7.017181E-08  7.944668E-09  9.902891E-06  4.402728E-10 -1.984881E-13  3.873347E-05 -2.910647E-08  3.354203E-09  4.180577E-06  1.864006E-10 -8.404287E-14  2.570073E-15  5.338764E-12  1.546368E-16 -4.980135E-20  1.528987E-05 -1.148986E-08  1.205624E-09  1.502632E-06  6.675219E-11 -3.009714E-14
  5.882415E-07  3.059478E-04 -2.426490E-07  9.865697E-05 -7.830824E-08  8.865854E-09  1.046128E-05  4.913233E-10 -2.339927E-13  4.091751E-05 -3.248137E-08  3.743124E-09  4.416304E-06  2.080142E-10 -9.907605E-14  3.029795E-15  5.957804E-12  1.822977E-16 -6.201999E-20  1.615201E-05 -1.282211E-08  1.345416E-09  1.587359E-06  7.449224E-11 -3.548077E-14
  6.212497E-07  3.231155E-04 -2.706442E-07  1.041929E-04 -8.734293E-08  9.888738E-09  1.104829E-05  5.480099E-10 -2.756343E-13  4.321352E-05 -3.622885E-08  4.174981E-09  4.664116E-06  2.320139E-10 -1.167077E-13  3.568981E-15  6.645187E-12  2.147399E-16 -7.715661E-20  1.705835E-05 -1.430144E-08  1.500641E-09  1.676431E-06  8.308680E-11 -4.179497E-14
  6.559502E-07  3.411634E-04 -3.017223E-07  1.100127E-04 -9.737251E-08  1.102426E-08  1.166541E-05  6.109389E-10 -3.244493E-13  4.562725E-05 -4.038901E-08  4.654394E-09  4.924635E-06  2.586565E-10 -1.373767E-13  4.201050E-15  7.408267E-12  2.527708E-16 -9.589397E-20  1.801116E-05 -1.594367E-08  1.672960E-09  1.770070E-06  9.262782E-11 -4.919688E-14
  6.924299E-07  3.601366E-04 -3.362145E-07  1.161309E-04 -1.085039E-07  1.228453E-08  1.231416E-05  6.807813E-10 -3.816462E-13  4.816473E-05 -4.500619E-08  5.186474E-09  5.198510E-06  2.882260E-10 -1.615948E-13  4.941650E-15  8.255178E-12  2.973320E-16 -1.190722E-19  1.901282E-05 -1.776632E-08  1.864209E-09  1.868509E-06  1.032170E-10 -5.786975E-14
  7.307799E-07  3.800827E-04 -3.744874E-07  1.225627E-04 -1.208554E-07  1.368294E-08  1.299617E-05  7.582793E-10 -4.486344E-13  5.083231E-05 -5.012946E-08  5.776876E-09  5.486427E-06  3.210367E-10 -1.899586E-13  5.809030E-15  9.194921E-12  3.495216E-16 -1.477245E-19  2.006583E-05 -1.978874E-08  2.076421E-09  1.971996E-06  1.149669E-10 -6.802730E-14
